"","Player","Offense","Defense","Ovr","OffTO_multiplied","OReb_multiplied","OTS_multiplied","DefTO_multiplied","DReb_multiplied","DTS_multiplied","season1","season2"
"1066","D'Angelo Russell",-0.5,-1.48,-1.98,0.61,-0.59,-0.77,0.49,-0.6,-1.47,2015,2017
"1067","Tyson Chandler",-2.48,0.49,-1.99,-1.79,0.8,-1.43,-0.03,1.58,-0.96,2015,2017
"1068","Norris Cole",-0.65,-1.35,-2,0.52,0.23,-1.18,0.15,-0.65,-0.87,2015,2017
"1069","Kosta Koufos",-1.71,-0.3,-2.01,-0.37,0.39,-1.86,-0.64,0.44,-0.2,2015,2017
"1070","Kendall Marshall",-0.3,-1.72,-2.02,0.08,-0.71,0.4,0.62,-0.48,-1.78,2015,2017
"1071","Jarrod Uthoff",-0.47,-1.55,-2.03,0.14,0.02,-0.69,-0.19,-0.22,-1,2015,2017
"1072","Josh McRoberts",-0.61,-1.42,-2.03,0.57,-0.38,-0.64,-0.55,0.12,-1.16,2015,2017
"1073","Kyle O'Quinn",-0.91,-1.14,-2.05,-0.49,0.93,-1.43,-1.11,-0.61,0.44,2015,2017
"1074","Kay Felder",-1.41,-0.65,-2.05,-0.61,-0.5,-0.29,0.2,-0.11,-0.59,2015,2017
"1075","Andrew Nicholson",-2.33,0.27,-2.05,-0.55,-0.95,-0.75,0,-0.79,0.9,2015,2017
"1076","Donatas Motiejunas",-1.06,-1,-2.06,-0.73,-0.29,0.07,0.22,-0.05,-1.1,2015,2017
"1077","Ty Lawson",-1.34,-0.73,-2.07,-0.36,-0.37,-0.59,-0.1,-0.43,-0.15,2015,2017
"1078","Johnny O'Bryant III",-0.64,-1.46,-2.1,-0.45,0.23,-0.24,-0.16,-0.28,-0.99,2015,2017
"1079","Kevon Looney",-1.67,-0.45,-2.12,-0.59,0.66,-1.67,-0.17,-0.12,-0.27,2015,2017
"1080","Semaj Christon",-0.05,-2.09,-2.15,0.09,0.81,-1.18,-0.27,-0.22,-1.66,2015,2017
"1081","Anthony Bennett",0.32,-2.47,-2.15,-0.21,0.44,-0.1,-0.55,0.14,-2.15,2015,2017
"1082","Adreian Payne",-1.06,-1.12,-2.18,-0.52,0.43,-0.73,0.1,-0.69,-0.46,2015,2017
"1083","Omer Asik",-2.37,0.18,-2.19,-0.07,0.06,-2.52,-1.32,2.35,-0.93,2015,2017
"1084","Jerami Grant",-1.63,-0.64,-2.27,-0.21,-0.29,-1.27,-0.62,-0.43,0.45,2015,2017
"1085","Doug McDermott",-0.26,-2.03,-2.29,-0.34,0.31,-0.16,-1.48,0.24,-0.78,2015,2017
"1086","Troy Williams",-1.47,-0.85,-2.32,-0.33,-0.41,-0.57,-0.27,-0.34,0.01,2015,2017
"1087","Greivis Vasquez",-1.1,-1.22,-2.32,-0.22,-0.37,-0.5,-0.05,-0.6,-0.55,2015,2017
"1088","Chris Copeland",-0.82,-1.51,-2.33,-0.27,-0.15,-0.42,0.07,-0.36,-1.15,2015,2017
"1089","Mike Muscala",-0.99,-1.4,-2.39,-0.37,0.04,-0.7,-0.04,0.75,-2.11,2015,2017
"1090","Luis Scola",-1.27,-1.13,-2.4,-1.12,-0.13,-0.36,-0.26,0.66,-1.64,2015,2017
"1091","Jordan Clarkson",-0.37,-2.03,-2.4,0.09,0.02,-0.53,-0.47,-0.21,-1.35,2015,2017
"1092","Rashad Vaughn",-1.82,-0.58,-2.4,-0.62,0.04,-1.38,-0.48,0.38,-0.51,2015,2017
"1093","Bryn Forbes",-1.84,-0.59,-2.43,0.18,-0.49,-1.6,-0.47,-0.04,-0.12,2015,2017
"1094","Marcus Thornton",0.1,-2.56,-2.46,0.05,0.43,-0.4,0.31,-0.85,-1.94,2015,2017
"1095","Cameron Payne",-1.63,-0.84,-2.46,-0.27,0.11,-1.51,0.24,-0.24,-0.79,2015,2017
"1096","Udonis Haslem",-1.8,-0.68,-2.49,-0.61,-0.61,-0.54,0.64,-0.43,-0.81,2015,2017
"1097","Jonathan Gibson",-0.7,-1.8,-2.5,-0.43,-0.18,-0.19,-0.1,-0.09,-1.73,2015,2017
"1098","Emmanuel Mudiay",-1.57,-0.94,-2.51,-0.51,0.44,-1.04,-0.56,0.49,-0.76,2015,2017
"1099","Shane Larkin",-1.68,-0.88,-2.56,-0.87,0.93,-1.66,1.01,-0.24,-1.66,2015,2017
"1100","Rajon Rondo",-1.14,-1.43,-2.57,-0.94,0.63,-0.44,0.46,-0.72,-1.02,2015,2017
"1101","Nicolas Brussino",-0.14,-2.43,-2.57,-0.24,0.17,-0.15,-0.3,0.23,-2.4,2015,2017
"1102","Mike Dunleavy",-1.46,-1.13,-2.59,-0.14,-0.55,-0.65,-0.45,-0.2,-0.5,2015,2017
"1103","Drew Gooden",-1.24,-1.36,-2.6,0.01,-0.21,-0.98,0.09,-0.43,-0.92,2015,2017
"1104","Mario Hezonja",-1.87,-0.79,-2.65,0.35,-1.12,-1.35,0.29,-0.46,-0.68,2015,2017
"1105","Mike Miller",-1.86,-0.81,-2.67,-0.3,-0.42,-1.16,-0.1,0.27,-0.98,2015,2017
"1106","Shabazz Muhammad",-0.71,-1.96,-2.67,-0.44,0.88,-0.91,-0.03,-0.57,-1.47,2015,2017
"1107","Bobby Portis",-1.18,-1.51,-2.68,1.31,-0.33,-2.09,-0.67,0.39,-1.23,2015,2017
"1108","Pascal Siakam",-1.78,-0.92,-2.7,-0.68,0.03,-0.69,0.95,-0.23,-1.53,2015,2017
"1109","Archie Goodwin",0.14,-2.84,-2.7,-0.55,0.16,0.68,-0.98,-0.03,-1.91,2015,2017
"1110","Brian Roberts",-1.96,-0.75,-2.71,-0.03,-0.54,-1.44,-0.03,0.49,-1.16,2015,2017
"1111","Joffrey Lauvergne",-1.24,-1.5,-2.74,-0.18,-0.22,-0.71,-1.21,0.27,-0.76,2015,2017
"1112","Jaylen Brown",-1.89,-0.85,-2.75,-0.9,-0.39,-0.39,-0.56,0.67,-1.14,2015,2017
"1113","Briante Weber",-0.38,-2.38,-2.76,0.35,1.01,-1.94,0,-0.14,-2.2,2015,2017
"1114","Michael Beasley",-0.59,-2.19,-2.79,-0.38,0.78,-0.78,-0.57,-0.31,-1.09,2015,2017
"1115","Spencer Hawes",-2.59,-0.3,-2.89,-0.49,-1.05,-1.03,-0.8,0.81,0.03,2015,2017
"1116","Julius Randle",-0.47,-2.47,-2.94,-0.25,-0.01,-0.45,-1.11,0.41,-1.96,2015,2017
"1117","Jerryd Bayless",-1.11,-1.84,-2.95,-0.76,-0.14,-0.43,-0.24,-0.78,-0.73,2015,2017
"1118","Markel Brown",0.03,-3,-2.98,0.22,0.7,-0.71,0.31,-1.08,-2.06,2015,2017
"1119","Kevin Seraphin",-2.67,-0.41,-3.08,-0.12,-0.59,-1.84,-0.06,-0.25,-0.09,2015,2017
"1120","Kris Humphries",-2.53,-0.55,-3.08,-0.55,-0.12,-2.02,-0.05,0.22,-0.99,2015,2017
"1121","James Jones",-2.59,-0.53,-3.12,0.4,-1.25,-1.69,0.29,-0.84,-0.13,2015,2017
"1122","Bojan Bogdanovic",0.05,-3.2,-3.15,-0.46,-1.01,1.35,-0.84,-0.57,-1.61,2015,2017
"1123","Trey Burke",-1.83,-1.34,-3.17,-0.9,0.85,-1.63,-0.16,-0.97,-0.48,2015,2017
"1124","PJ Hairston",-2.01,-1.16,-3.17,0.58,-1.4,-1.15,0.53,-0.08,-1.69,2015,2017
"1125","Brandon Rush",-0.3,-2.89,-3.18,-0.03,-0.56,0.42,-1.49,0.24,-1.47,2015,2017
"1126","Brandon Knight",-1.53,-1.68,-3.22,-0.57,-0.49,-0.38,-0.06,0.28,-1.8,2015,2017
"1127","Mo Williams",-2.99,-0.28,-3.27,-0.85,-0.11,-2.08,-0.35,0.12,-0.1,2015,2017
"1128","Andrea Bargnani",-1.65,-1.63,-3.28,0.34,-0.28,-1.4,-0.26,-0.4,-0.95,2015,2017
"1129","Joe Harris",-2.23,-1.12,-3.35,-0.88,0.15,-1.76,-1.04,-0.57,0.36,2015,2017
"1130","Justin Hamilton",-2.3,-1.06,-3.36,-0.48,-0.99,-0.66,-0.2,0.09,-0.84,2015,2017
"1131","Ian Clark",-1.15,-2.21,-3.37,-1.18,0.15,-0.1,-0.99,-0.95,-0.45,2015,2017
"1132","Kevin Martin",-2.38,-1.08,-3.45,-0.52,-0.42,-1.25,-0.38,0.12,-0.85,2015,2017
"1133","Wade Baldwin IV",-2.76,-0.86,-3.62,-0.48,-0.39,-1.65,-0.43,-0.03,-0.37,2015,2017
"1134","Ryan Hollins",-1.64,-1.98,-3.62,-0.5,0.42,-1.83,-0.64,-0.01,-1.5,2015,2017
"1135","Marquese Chriss",-1.29,-2.34,-3.63,-0.43,0.12,-0.55,0.55,-0.11,-3.11,2015,2017
"1136","Derrick Williams",-1.71,-1.99,-3.7,0.39,-1.02,-0.92,-0.72,-0.3,-1.03,2015,2017
"1137","Roy Hibbert",-3.44,-0.35,-3.79,-0.06,-1.1,-2.18,-1.76,0.44,1.15,2015,2017
"1138","Thomas Robinson",-1.32,-2.48,-3.81,-0.48,2,-2.89,1.06,-0.9,-2.4,2015,2017
"1139","Gary Neal",-1.07,-2.74,-3.81,0.31,-0.86,-0.37,-0.12,-0.63,-1.97,2015,2017
"1140","Joe Young",-2.42,-1.4,-3.82,0.06,0.06,-2.43,-0.85,0.07,-0.68,2015,2017
"1141","Zach LaVine",-1.24,-2.73,-3.97,-1.3,-0.12,0.32,-0.7,-0.39,-1.76,2015,2017
"1142","Terrence Jones",-1.45,-2.63,-4.09,0.7,-0.56,-1.48,-0.36,-0.39,-1.89,2015,2017
"1143","Alex Len",-3.99,-0.11,-4.1,-1.72,0.52,-2.89,-1.03,0.28,0.62,2015,2017
"1144","James Michael McAdoo",-3.05,-1.25,-4.3,-0.65,0.23,-2.8,0.21,-0.31,-1.08,2015,2017
"1145","Isaiah Canaan",-2.96,-1.48,-4.44,-0.45,0.06,-2.82,0.08,-0.49,-1.36,2015,2017
"1146","D.J. Augustin",-2.45,-1.99,-4.44,-0.61,-0.57,-1.22,-0.37,-0.32,-1.43,2015,2017
"1147","Patrick McCaw",-3.39,-1.49,-4.88,-0.61,-0.47,-2.13,-0.05,-0.25,-1.29,2015,2017
"1148","Jahlil Okafor",-4.62,-1.84,-6.46,-1.43,-0.58,-2.56,-1.6,0.57,-1.21,2015,2017
"1149","Stephen Curry",8.03,0.82,8.86,0.53,0.65,6.74,1.04,-0.04,-0.07,2016,2018
"1150","Chris Paul",5.49,1.98,7.47,2.14,-0.2,3.53,0.73,0.43,1.07,2016,2018
"1151","Nikola Jokic",5.11,1.62,6.74,0.32,0.9,4.16,-1.19,1.63,0.98,2016,2018
"1152","Rudy Gobert",0.96,5.72,6.69,-1.05,1.15,0.74,0.03,1.14,4.43,2016,2018
"1153","Jimmy Butler",2.74,3.94,6.68,0.55,1.03,1.6,1.45,0.24,2.29,2016,2018
"1154","LeBron James",6.49,-0.19,6.3,0.75,-0.33,5.82,-0.03,0.64,-0.7,2016,2018
"1155","Kyle Lowry",3.61,2.67,6.28,0.11,0.05,3.15,1.32,0.55,0.62,2016,2018
"1156","Kemba Walker",5.05,1.03,6.08,1.9,0.07,2.99,-0.04,0.96,0.35,2016,2018
"1157","Joel Embiid",2.27,3.26,5.53,-0.51,0.44,2.38,-1.09,0.41,3.62,2016,2018
"1158","Damian Lillard",4.96,0.22,5.18,1.62,0.65,2.24,-0.06,-0.11,0.22,2016,2018
"1159","Nikola Mirotic",3.81,1.22,5.03,1.19,0.38,2.22,-0.23,-0.26,1.52,2016,2018
"1160","Robert Covington",0.07,4.95,5.02,-0.37,0.25,0.21,1.4,1.26,2.12,2016,2018
"1161","Fred VanVleet",2.12,2.78,4.9,1.09,-0.16,1.11,0.44,-0.87,3.17,2016,2018
"1162","Kawhi Leonard",4.24,0.5,4.73,1.03,0,3.15,0.5,0.44,-0.46,2016,2018
"1163","Eric Gordon",3.23,1.32,4.55,0.89,0.36,1.65,-0.96,-0.61,2.85,2016,2018
"1164","Anthony Davis",0.86,3.63,4.49,0.7,-1,1.32,-0.21,0,3.77,2016,2018
"1165","Karl-Anthony Towns",5,-0.64,4.36,0.03,0.84,4.18,-0.57,0.82,-1.04,2016,2018
"1166","Giannis Antetokounmpo",1.4,2.84,4.25,0.44,0.11,0.88,0.75,-0.22,2.21,2016,2018
"1167","Raul Neto",1.13,3.07,4.2,0.46,-0.26,1.02,0.23,0.16,2.5,2016,2018
"1168","Mike Conley",3.17,0.99,4.15,1.33,-0.13,1.98,0.26,-0.56,1.4,2016,2018
"1169","Al Horford",2.76,1.37,4.14,0.24,-1.56,3.8,-1.11,0.59,1.71,2016,2018
"1170","Jrue Holiday",0.66,3.45,4.11,0.08,-0.8,1.18,0.16,0.98,2.34,2016,2018
"1171","Russell Westbrook",3.62,0.47,4.09,0.82,1.09,2.26,0.57,0.9,-0.85,2016,2018
"1172","Bradley Beal",2.87,1.21,4.09,0.45,0.03,2.46,0.47,-0.5,1.26,2016,2018
"1173","Tim Hardaway Jr.",2.63,1.42,4.05,0.46,0.82,1.48,0.11,0.18,1.11,2016,2018
"1174","James Harden",5.22,-1.19,4.03,0.04,0.84,4.34,-0.38,-0.12,-0.51,2016,2018
"1175","Victor Oladipo",0.6,3.39,3.98,-0.24,0.18,0.97,0.98,0.26,2.27,2016,2018
"1176","Vince Carter",2.19,1.54,3.73,0.87,0.99,0.3,0.44,-0.11,1.34,2016,2018
"1177","Kyrie Irving",4.32,-0.67,3.65,1.17,0.59,2.39,-0.5,-0.71,0.65,2016,2018
"1178","Kevin Love",2.23,1.42,3.64,-0.57,0.78,1.7,0.45,0.83,0.22,2016,2018
"1179","Otto Porter Jr.",2.61,0.97,3.58,0.51,-0.21,2.29,1.06,0.3,-0.44,2016,2018
"1180","LaMarcus Aldridge",1.52,1.98,3.5,1.37,-0.21,0.44,-0.52,1.52,0.94,2016,2018
"1181","Danilo Gallinari",2.18,1.3,3.47,0.78,0.94,1.06,-0.87,0.56,1.63,2016,2018
"1182","Blake Griffin",2.53,0.87,3.4,-0.33,0.54,2.47,0.34,-0.15,0.58,2016,2018
"1183","Aaron Gordon",2.5,0.85,3.36,0.68,0.28,1.42,0.34,0.27,0.25,2016,2018
"1184","Draymond Green",0.5,2.84,3.34,-0.37,-0.77,1.46,1.36,-0.41,2.02,2016,2018
"1185","Jordan Bell",2.43,0.87,3.3,-0.09,-0.1,2.66,0.07,-0.36,1.44,2016,2018
"1186","Aron Baynes",-0.73,4.03,3.3,-0.06,-0.23,-0.59,0.06,1.9,2.37,2016,2018
"1187","Al-Farouq Aminu",0.88,2.36,3.24,1.07,-0.96,0.54,0.17,0.68,1.63,2016,2018
"1188","Klay Thompson",2.27,0.95,3.22,-0.17,-0.99,3.39,-0.27,-0.26,1.48,2016,2018
"1189","Tyus Jones",2.63,0.57,3.2,1.36,-0.15,1.41,1.48,-0.92,-0.21,2016,2018
"1190","Gordon Hayward",2.35,0.84,3.2,0.77,0.02,1.64,-0.51,-0.03,1.29,2016,2018
"1191","Marreese Speights",1.9,1.28,3.19,0.72,-0.82,1.69,-0.54,-0.25,2.22,2016,2018
"1192","Jayson Tatum",1.38,1.75,3.13,0.2,-0.7,1.78,0.62,0.01,1.15,2016,2018
"1193","Amir Johnson",0.31,2.76,3.07,-0.44,0.31,0.62,0.09,1.19,1.31,2016,2018
"1194","Paul Millsap",0.37,2.69,3.06,0.05,-0.06,0.55,0.82,0.02,1.96,2016,2018
"1195","Cody Zeller",-0.03,3.05,3.02,0.45,0.16,-0.72,0.88,1.31,0.92,2016,2018
"1196","Patrick Beverley",1.83,1.08,2.9,0.34,0.33,0.9,1.4,0.31,-0.44,2016,2018
"1197","JaVale McGee",3.1,-0.2,2.9,-0.09,0.9,2.24,-0.97,0.3,0.39,2016,2018
"1198","Donovan Mitchell",0.86,2.01,2.87,0.08,-0.57,1.19,0.55,1.01,0.48,2016,2018
"1199","Andre Roberson",-1.12,3.99,2.87,-0.11,1.16,-1.97,1.05,0.39,2.53,2016,2018
"1200","Luc Mbah a Moute",0.07,2.79,2.87,-0.38,-1.04,1.58,0.91,0.46,1.53,2016,2018
"1201","Shaquille Harrison",1.71,1.07,2.78,-0.3,0.01,2.01,0.57,0.34,0.14,2016,2018
"1202","Salah Mejri",0.15,2.59,2.74,-0.05,0.55,-0.58,0.44,0.38,1.79,2016,2018
"1203","Kevin Durant",3.84,-1.14,2.69,0.21,-0.53,4.28,-1.1,-0.12,-0.2,2016,2018
"1204","OG Anunoby",1.11,1.52,2.64,-0.19,-0.73,1.91,-0.16,0.51,1.04,2016,2018
"1205","Thaddeus Young",0.78,1.85,2.63,0.08,-0.6,1.18,1.49,0.07,0.32,2016,2018
"1206","David Lee",0.8,1.83,2.63,-0.72,0.22,1.5,0.55,-0.16,1.38,2016,2018
"1207","Patrick Patterson",1.16,1.46,2.62,0.81,-0.13,0.51,1.03,-0.29,0.93,2016,2018
"1208","Royce O'Neale",0.7,1.92,2.61,-0.13,0.77,-0.02,-0.08,0.53,1.55,2016,2018
"1209","Paul George",1.41,1.16,2.57,-0.29,-0.06,1.86,1.38,0.21,-0.36,2016,2018
"1210","P.J. Tucker",1.46,1.11,2.57,-0.11,1.05,0.3,1.25,-0.06,-0.04,2016,2018
"1211","JJ Redick",3.29,-0.72,2.56,0.52,0.57,2.43,-0.82,0.03,0.42,2016,2018
"1212","Josh Huestis",1.51,1.03,2.54,0.05,0.72,0.61,-0.25,-0.3,1.65,2016,2018
"1213","Jared Dudley",0.38,2.13,2.5,0.24,-0.08,0.38,1.24,-0.44,1.46,2016,2018
"1214","Nene",-0.17,2.65,2.48,-0.12,0.14,-0.31,1,0.79,0.86,2016,2018
"1215","Danuel House Jr.",1.36,1.11,2.47,-0.03,-0.23,1.4,-0.42,0.26,1.38,2016,2018
"1216","Rudy Gay",0.83,1.64,2.47,0.26,1.13,-0.51,0.49,0.4,0.73,2016,2018
"1217","Isaiah Whitehead",0.54,1.92,2.46,-0.64,0.24,0.85,-0.18,-0.78,2.5,2016,2018
"1218","Ersan Ilyasova",1.21,1.23,2.44,0.1,0.13,0.85,1.04,-1.01,0.93,2016,2018
"1219","Kyle Anderson",-0.03,2.45,2.42,-0.23,-0.47,0.81,0.45,0.8,1.21,2016,2018
"1220","Ben Simmons",1.93,0.49,2.42,-0.26,0.72,1.8,-0.01,-0.31,0.9,2016,2018
"1221","Andre Iguodala",0.54,1.85,2.39,0.67,-0.06,-0.24,0.69,-1.28,2.33,2016,2018
"1222","George Hill",2.11,0.28,2.39,0.5,0.28,1.33,-0.51,1.36,-0.4,2016,2018
"1223","Devin Harris",1.67,0.71,2.38,0.64,-0.14,1.16,0.43,-0.45,0.87,2016,2018
"1224","Ian Mahinmi",0.58,1.79,2.36,-1.32,1.33,0.32,0.35,0.13,1.11,2016,2018
"1225","Zaza Pachulia",0.85,1.5,2.35,-0.59,-0.02,1.19,0.13,1.52,-0.34,2016,2018
"1226","DeMar DeRozan",3.41,-1.11,2.3,1.86,0.51,1.23,-1.18,-0.57,0.61,2016,2018
"1227","Pierre Jackson",0.92,1.33,2.24,0.61,-0.01,0.28,0.51,0.08,0.66,2016,2018
"1228","Delon Wright",0.67,1.57,2.24,-0.41,0.74,0.29,0.78,-0.65,1.28,2016,2018
"1229","Nemanja Bjelica",-0.57,2.79,2.22,0.1,-0.04,-0.45,0.13,-0.34,2.72,2016,2018
"1230","John Wall",2.75,-0.54,2.21,0.91,0.61,1.41,0.51,-1.3,0.14,2016,2018
"1231","Brandan Wright",0.47,1.73,2.2,0.13,0.66,-0.2,0.41,-1.02,2.37,2016,2018
"1232","Patty Mills",2.54,-0.37,2.17,1.05,0.46,0.92,0.77,-0.95,-0.16,2016,2018
"1233","Khris Middleton",2.14,0.03,2.17,0.43,-1.18,3.06,1.25,-0.09,-1.15,2016,2018
"1234","Kristaps Porzingis",-0.39,2.51,2.12,-0.12,-0.21,0.11,-0.17,0.06,2.57,2016,2018
"1235","Darren Collison",3.29,-1.17,2.11,1.07,-0.16,2.26,0.75,-0.12,-1.76,2016,2018
"1236","Ish Smith",1.45,0.64,2.09,1.36,0.41,0.03,-0.47,0.34,0.95,2016,2018
"1237","Justin Holiday",0.87,1.15,2.02,0.79,-0.57,0.48,0.19,0.6,0.76,2016,2018
"1238","Lucas Nogueira",0.4,1.57,1.97,0.22,-0.7,1.03,0.24,-0.7,2.07,2016,2018
"1239","Seth Curry",0.79,1.17,1.97,0.6,-1.07,1.24,0.88,-0.18,0.13,2016,2018
"1240","Dejounte Murray",-1,2.96,1.96,-0.3,0.27,-1.16,0.61,0.86,1.54,2016,2018
"1241","Jason Terry",0.63,1.33,1.96,-0.37,-0.29,1.04,1.09,-0.61,0.5,2016,2018
"1242","Lonzo Ball",-0.95,2.89,1.94,-0.47,-0.03,-0.36,0.59,0.75,1.3,2016,2018
"1243","DeMarre Carroll",0.58,1.33,1.91,-0.07,0.59,0,0.49,-0.61,1.37,2016,2018
"1244","Jamal Murray",2.5,-0.59,1.9,0.14,-0.16,2.57,-0.3,0.53,-0.74,2016,2018
"1245","Clint Capela",0.9,0.99,1.89,-0.25,0.29,0.51,-0.35,1.31,-0.12,2016,2018
"1246","CJ McCollum",2.53,-0.64,1.89,1.43,0.23,1.14,-0.44,-0.29,0.13,2016,2018
"1247","Tomas Satoransky",0.44,1.43,1.87,-0.17,0.57,0.35,-0.06,-0.42,2.07,2016,2018
"1248","Yogi Ferrell",0.07,1.77,1.85,1.09,-0.95,-0.3,0.3,-0.07,1.66,2016,2018
"1249","James Johnson",0.13,1.67,1.8,-0.66,-0.34,1.28,0,-0.07,1.65,2016,2018
"1250","Gary Harris",2.69,-0.89,1.8,-0.03,0.33,2.7,0.74,0.38,-1.82,2016,2018
"1251","Marcus Smart",0.04,1.74,1.78,0.06,0.64,-0.71,1.24,-0.64,0.92,2016,2018
"1252","Spencer Dinwiddie",1.3,0.47,1.76,1.24,-0.7,0.59,-0.68,0.99,-0.01,2016,2018
"1253","Okaro White",1.28,0.48,1.76,0.19,0.28,0.66,0.2,-0.36,0.62,2016,2018
"1254","Luke Kennard",1.25,0.51,1.76,0.33,-0.47,1.37,0.04,0.07,0.59,2016,2018
"1255","Larry Nance Jr.",-0.82,2.57,1.75,0.49,0.07,-1.14,2.14,-0.43,0.54,2016,2018
"1256","Shabazz Napier",1.12,0.62,1.74,0.04,-0.48,1.46,0.59,-0.39,0.53,2016,2018
"1257","J.J. Barea",1.51,0.2,1.71,0.28,-0.61,1.66,0.42,0.07,-0.24,2016,2018
"1258","Wayne Ellington",2.1,-0.42,1.68,0.69,-0.1,1.19,-0.53,-0.36,0.45,2016,2018
"1259","Mike James",0.48,1.19,1.67,0.77,-0.12,-0.12,0.05,-0.21,1.17,2016,2018
"1260","Malik Beasley",0.58,1.09,1.67,-0.06,-0.19,0.93,0.33,-0.15,1.18,2016,2018
"1261","Jarrett Jack",0.92,0.75,1.67,0.24,-0.02,0.95,-0.47,0.76,0.46,2016,2018
"1262","Channing Frye",1.88,-0.21,1.66,0.38,-0.8,2.44,-1.01,0.58,0.28,2016,2018
"1263","Myles Turner",0.42,1.23,1.65,-0.5,-0.61,1.6,-0.4,-0.05,1.63,2016,2018
"1264","Boban Marjanovic",1.07,0.58,1.65,-0.24,0.77,0.44,-0.53,0.87,0.1,2016,2018
"1265","Dewayne Dedmon",-0.39,2.02,1.63,-1.37,0.05,0.83,-0.17,0.91,1.29,2016,2018
"1266","Tony Allen",-0.34,1.96,1.61,0.41,0.86,-1.37,1.84,-0.55,0.96,2016,2018
"1267","Khem Birch",0.92,0.68,1.6,0.47,0.47,-0.26,0.11,0.26,0.22,2016,2018
"1268","Ekpe Udoh",0.06,1.52,1.58,0.11,-1.17,1.13,1.1,0.21,0.13,2016,2018
"1269","Derrick Jones Jr.",0.14,1.41,1.54,0.39,0.41,-0.71,-0.38,0.04,1.6,2016,2018
"1270","DeMarcus Cousins",1.87,-0.36,1.52,-0.98,0.27,2.45,0.55,0.96,-1.83,2016,2018
"1271","Manu Ginobili",1.98,-0.48,1.51,-0.66,1.37,1.54,0.69,-0.83,-0.26,2016,2018
"1272","Lou Williams",4.37,-2.89,1.49,0.32,0.92,3.68,-0.63,-1.07,-1.27,2016,2018
"1273","Steven Adams",1.09,0.39,1.48,-0.7,2.7,-0.77,-0.43,0.65,0.13,2016,2018
"1274","John Henson",0.48,0.99,1.47,-0.52,0.35,0.43,-0.53,0.37,1.36,2016,2018
"1275","Eric Bledsoe",1.94,-0.48,1.46,0.26,0.23,1.5,0.76,-0.3,-0.84,2016,2018
"1276","Danny Green",0.03,1.41,1.44,0.49,0.34,-0.78,-0.34,-0.15,2.1,2016,2018
"1277","Beno Udrih",0.17,1.27,1.43,-0.24,-0.2,0.74,-0.28,0.54,0.95,2016,2018
"1278","CJ Miles",1.56,-0.14,1.42,1.15,-0.55,0.48,0.47,-1.04,0.39,2016,2018
"1279","Mario Chalmers",0.1,1.32,1.42,-0.29,0.37,-0.01,1.91,-0.57,-0.19,2016,2018
"1280","Kelly Olynyk",1.27,0.11,1.39,-0.39,-0.86,2.36,0.75,0,-0.78,2016,2018
"1281","Timothe Luwawu-Cabarrot",-0.72,2.09,1.37,-0.09,0.16,-0.54,0.51,-0.11,1.6,2016,2018
"1282","Shawn Long",1.9,-0.53,1.37,0.45,0.66,0.59,-0.14,-0.33,-0.22,2016,2018
"1283","JaKarr Sampson",-0.66,2.02,1.35,0.19,-0.09,-0.7,0.19,-0.07,1.9,2016,2018
"1284","Lorenzo Brown",-0.03,1.38,1.35,-0.37,-0.05,0.49,0.01,0.24,0.93,2016,2018
"1285","Joe Ingles",1.97,-0.62,1.35,-0.26,0.07,2,0.39,0.21,-0.98,2016,2018
"1286","Julyan Stone",0.45,0.89,1.34,0.19,-0.39,0.69,-0.06,0.27,0.53,2016,2018
"1287","Serge Ibaka",0.31,0.99,1.29,-0.01,-0.66,1.11,-1.25,0.87,1.29,2016,2018
"1288","Josh Hart",1.77,-0.47,1.29,-0.32,0.73,1.1,0,-0.35,0.05,2016,2018
"1289","Tyler Ennis",-1.04,2.32,1.29,-0.26,-0.26,-0.43,0.66,0.72,0.75,2016,2018
"1290","Alec Peters",0.93,0.35,1.27,0.71,-0.24,0.44,-0.44,0.41,0.24,2016,2018
"1291","Tobias Harris",1.73,-0.49,1.24,0.38,-0.21,1.64,-0.34,0.6,-0.63,2016,2018
"1292","Rodney McGruder",1.66,-0.42,1.24,0.4,1.11,0.05,0.19,-0.22,-0.47,2016,2018
"1293","Derrick White",-0.08,1.32,1.23,-0.09,0.02,-0.03,0.63,-0.21,1.11,2016,2018
"1294","Thabo Sefolosha",-0.43,1.65,1.22,0.09,-0.32,-0.2,0.96,0.61,0.37,2016,2018
"1295","Malcolm Brogdon",1.45,-0.23,1.22,0.64,0.18,0.71,-0.16,-0.18,-0.04,2016,2018
"1296","Chris McCullough",0.95,0.26,1.21,0.02,0.38,0.42,0.11,-0.18,0.38,2016,2018
"1297","Frank Mason III",0.86,0.34,1.21,0.23,0.3,0.33,0.75,-0.25,-0.09,2016,2018
"1298","Ryan Anderson",1.49,-0.34,1.15,-0.13,-0.71,2.1,-0.45,1.14,-1.07,2016,2018
"1299","Montrezl Harrell",1.83,-0.68,1.15,-0.12,0.66,1.37,-0.2,-1.25,0.68,2016,2018
"1300","Marc Gasol",0.68,0.42,1.1,0.1,-0.66,1.25,-0.47,0.72,0.15,2016,2018
"1301","Justise Winslow",-1.21,2.29,1.08,0.49,-0.35,-1.13,-0.03,0.54,1.8,2016,2018
"1302","Cedi Osman",1.94,-0.86,1.08,0.32,0.09,1.35,0.13,0.36,-1.22,2016,2018
