"","Player","Offense","Defense","Ovr","OffTO_multiplied","OReb_multiplied","OTS_multiplied","DefTO_multiplied","DReb_multiplied","DTS_multiplied","season1","season2"
"57","Jae Crowder",2.14,0.65,2.79,1.09,0.46,0.43,1.27,-0.87,0.1,2014,2016
"58","Danilo Gallinari",1.99,0.78,2.78,1.04,-0.1,1.14,0.23,0.48,0.17,2014,2016
"59","Marcin Gortat",0.27,2.5,2.77,-0.19,-0.04,0.47,-1.18,1.13,2.42,2014,2016
"60","Gordon Hayward",2.21,0.49,2.7,1.01,0.81,0.75,-0.28,0.86,0,2014,2016
"61","Jared Dudley",0.8,1.89,2.69,0.31,-1.11,1.56,1.57,-0.03,0.24,2014,2016
"62","Jusuf Nurkic",0.56,2.1,2.66,0.26,0.23,-0.26,0.24,0,1.78,2014,2016
"63","Goran Dragic",2.02,0.59,2.61,0.72,0.12,1.21,0.37,-0.92,1.18,2014,2016
"64","Nicolas Batum",1.76,0.83,2.58,0.25,-0.94,2.1,-0.22,0.78,0.46,2014,2016
"65","Jonas Jerebko",0.83,1.75,2.58,0.05,0.24,0.19,0.89,-0.11,1.17,2014,2016
"66","Nene",0.55,2,2.54,-0.21,-0.7,1.5,1.13,1.06,-0.3,2014,2016
"67","Markieff Morris",0.37,2.17,2.54,-0.17,-0.47,1.1,0.21,0.28,1.17,2014,2016
"68","Zaza Pachulia",-0.47,2.99,2.52,-0.54,0.21,-0.35,1.15,1.61,0.31,2014,2016
"69","Tim Duncan",-0.34,2.85,2.51,-0.34,-0.09,-0.01,-0.56,0.91,2.54,2014,2016
"70","Elijah Millsap",-0.13,2.62,2.49,-0.47,1.1,-0.79,0.3,-0.2,2.44,2014,2016
"71","Robert Covington",1.01,1.47,2.48,0.42,0.08,0.24,1.5,0.04,-0.04,2014,2016
"72","Iman Shumpert",0.82,1.63,2.45,-0.29,-0.14,1.27,0.1,-0.78,2.21,2014,2016
"73","Darrell Arthur",-0.49,2.93,2.44,0.72,-0.4,-0.74,1.29,-0.92,2.45,2014,2016
"74","Cory Joseph",0.44,1.98,2.42,0.25,0.16,0.07,-0.27,0.47,1.85,2014,2016
"75","Anthony Morrow",2.02,0.38,2.4,0.54,-0.16,1.82,-0.36,-0.58,1.2,2014,2016
"76","Isaiah Thomas",3.72,-1.41,2.31,1.18,-0.25,2.88,0.41,-1.21,-0.7,2014,2016
"77","Darren Collison",2.27,0.01,2.29,1.07,0.51,1.15,0.49,-0.55,0.18,2014,2016
"78","Gorgui Dieng",1.33,0.94,2.28,-0.34,0.3,1.83,1.42,-0.45,-0.21,2014,2016
"79","Luol Deng",2.26,0,2.25,0.2,0.58,1.73,-0.32,0.53,-0.26,2014,2016
"80","Kenneth Faried",3.1,-0.86,2.24,0.55,1.82,0.73,-0.61,1.4,-1.36,2014,2016
"81","Brandon Jennings",1.29,0.94,2.23,1.21,0.04,-0.1,0.37,0.29,0.13,2014,2016
"82","Nick Calathes",-1.28,3.5,2.23,-0.17,0.79,-1.63,1.38,-0.09,2.32,2014,2016
"83","Tristan Thompson",2.32,-0.14,2.18,0.85,1.76,-0.72,-0.5,0.32,0.16,2014,2016
"84","Jordan McRae",1.16,1.01,2.17,0.44,-0.04,0.79,-0.01,0.04,0.95,2014,2016
"85","Amir Johnson",0.29,1.87,2.17,0.11,0.4,-0.21,-0.19,0.09,1.77,2014,2016
"86","Marvin Williams",1.71,0.46,2.17,1.04,-1.57,2.03,-0.88,1.56,0.11,2014,2016
"87","Chandler Parsons",1.97,0.15,2.12,0.7,-0.68,1.89,0.71,-0.72,0.1,2014,2016
"88","Ronnie Price",0.06,2.05,2.11,0.52,0.31,-0.56,1.79,0.09,0.33,2014,2016
"89","Nikola Mirotic",1.63,0.47,2.1,-0.43,-0.37,2.57,0.11,0.02,0.28,2014,2016
"90","Blake Griffin",2.09,0.02,2.1,0.2,0.4,1.6,-0.32,0.2,-0.01,2014,2016
"91","Kyrie Irving",3.2,-1.1,2.1,1.03,-0.27,2.82,-0.12,0.27,-0.99,2014,2016
"92","Rudy Gobert",-1.04,3.14,2.1,-1.75,1.36,-0.57,0.07,-0.13,3.03,2014,2016
"93","Sergey Karasev",1.27,0.81,2.08,-0.51,0.47,1.5,0.64,-0.07,0.2,2014,2016
"94","Andre Roberson",-0.25,2.3,2.05,-1.16,1.14,0.12,0.38,1.07,0.92,2014,2016
"95","Matthew Dellavedova",1.58,0.44,2.02,-0.07,0.77,0.64,-0.63,0.43,0.55,2014,2016
"96","Jared Sullinger",0.26,1.71,1.97,-0.43,0.52,-0.02,-0.17,0.94,0.79,2014,2016
"97","Justise Winslow",-0.8,2.74,1.93,-0.13,0.05,-0.53,0.74,0.77,1.18,2014,2016
"98","Quincy Miller",0.4,1.51,1.91,0.12,0.08,0.13,0.14,0.01,1.22,2014,2016
"99","Thaddeus Young",1.41,0.46,1.87,0.12,0.99,0.68,0.6,0.65,-0.98,2014,2016
"100","Pero Antic",1.18,0.66,1.84,0.28,0.61,0.16,0.86,0.76,-0.83,2014,2016
"101","Cristiano Felicio",1.11,0.73,1.83,-0.39,0.4,0.92,0.09,0.53,0.07,2014,2016
"102","Jeremy Lin",1.05,0.77,1.83,0.02,0.36,0.66,-0.03,0.47,0.39,2014,2016
"103","Avery Bradley",1.57,0.24,1.81,1.3,-0.87,1.14,0.57,0.05,-0.37,2014,2016
"104","Paul George",0.64,1.16,1.8,-0.31,0.27,0.63,0.87,-0.23,0.46,2014,2016
"105","Pau Gasol",0.87,0.92,1.79,0.56,-0.06,0.64,-1.76,-0.51,2.97,2014,2016
"106","David West",0.09,1.69,1.78,1.15,-0.88,-0.18,0.06,0.85,0.87,2014,2016
"107","Thabo Sefolosha",-0.84,2.62,1.78,-0.64,0.06,-0.45,0.73,0.45,1.59,2014,2016
"108","Marcus Smart",0.73,1.02,1.75,0.89,0.47,-0.53,1.34,-0.11,-0.23,2014,2016
"109","Elfrid Payton",0.82,0.9,1.72,0.8,0.32,-0.54,0.82,0.15,-0.03,2014,2016
"110","Reggie Jackson",1.22,0.5,1.72,1.14,0.71,-0.25,-0.49,0.6,0.42,2014,2016
"111","Salah Mejri",0.72,1,1.71,0.02,-0.29,0.76,-0.17,0.28,1.01,2014,2016
"112","Dwight Howard",0.17,1.53,1.7,-1.9,1.01,0.85,0.39,0.81,0.25,2014,2016
